,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
134,"('135.', None)","('4142', None)","(""Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4142.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4142.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4142.pdf')"
135,"('136.', None)","('4143', None)","('Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4143.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4143.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4143.pdf')"
136,"('137.', None)","('4144', None)","('Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4144.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4144.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4144.pdf')"
137,"('138.', None)","('4145', None)","('Wainganga College of Engineering and Management, Dongargaon, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4145.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4145.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4145.pdf')"
138,"('139.', None)","('4147', None)","('K.D.K. College of Engineering, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4147.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4147.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4147.pdf')"
139,"('140.', None)","('4151', None)","(""Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4151.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4151.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4151.pdf')"
140,"('141.', None)","('4163', None)","('Rajiv Gandhi College of Engineering Research & Technology Chandrapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4163.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4163.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4163.pdf')"
141,"('142.', None)","('4167', None)","('Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4167.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4167.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4167.pdf')"
142,"('143.', None)","('4172', None)","('Anjuman College of Engineering & Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4172.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4172.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4172.pdf')"
143,"('144.', None)","('4174', None)","('ST. Vincent Pallotti College of Engineering & Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4174.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4174.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4174.pdf')"
144,"('145.', None)","('4175', None)","('JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4175.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4175.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4175.pdf')"
145,"('146.', None)","('4177', None)","('Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4177.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4177.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4177.pdf')"
146,"('147.', None)","('4181', None)","('Swaminarayan Siddhanta Institute Of Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4181.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4181.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4181.pdf')"
147,"('148.', None)","('4188', None)","('Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4188.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4188.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4188.pdf')"
148,"('149.', None)","('4190', None)","(""M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4190.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4190.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4190.pdf')"
149,"('150.', None)","('4192', None)","('Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4192.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4192.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4192.pdf')"
150,"('151.', None)","('4193', None)","('K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4193.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4193.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4193.pdf')"
151,"('152.', None)","('4196', None)","(""Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4196.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4196.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4196.pdf')"
152,"('153.', None)","('4197', None)","('Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4197.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4197.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4197.pdf')"
153,"('154.', None)","('4285', None)","('V M Institute of Engineering and Technology, Dongargaon, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4285.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4285.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4285.pdf')"
154,"('155.', None)","('4302', None)","(""Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4302.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4302.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4302.pdf')"
155,"('156.', None)","('4304', None)","('Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4304.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4304.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4304.pdf')"
156,"('157.', None)","('4613', None)","('Suryodaya College of Engineering & Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4613.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4613.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4613.pdf')"
157,"('158.', None)","('4648', None)","('R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4648.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4648.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4648.pdf')"
158,"('159.', None)","('4649', None)","('Bajaj Institute of Technology, Wardha', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4649.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4649.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4649.pdf')"
159,"('160.', None)","('5003', None)","('University Institute of Chemical Technology, North Maharashtra University, Jalgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5003.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5003.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5003.pdf')"
160,"('161.', None)","('5004', None)","('Government College of Engineering, Jalgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5004.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5004.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5004.pdf')"
161,"('162.', None)","('5103', None)","(""Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5103.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5103.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5103.pdf')"
162,"('163.', None)","('5104', None)","('Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5104.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5104.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5104.pdf')"
163,"('164.', None)","('5106', None)","(""Khandesh College Education Society's College Of Engineering And Management, Jalgaon"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5106.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5106.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5106.pdf')"
164,"('165.', None)","('5108', None)","(""Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5108.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5108.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5108.pdf')"
165,"('166.', None)","('5109', None)","('Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5109.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5109.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5109.pdf')"
166,"('167.', None)","('5121', None)","('K. K. Wagh Institute of Engineering Education and Research, Nashik', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5121.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5121.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5121.pdf')"
167,"('168.', None)","('5124', None)","(""Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5124.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5124.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5124.pdf')"
168,"('169.', None)","('5125', None)","(""Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5125.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5125.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5125.pdf')"
169,"('170.', None)","('5130', None)","('Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5130.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5130.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5130.pdf')"
170,"('171.', None)","('5139', None)","('Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5139.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5139.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5139.pdf')"
171,"('172.', None)","('5151', None)","(""MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5151.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5151.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5151.pdf')"
172,"('173.', None)","('5152', None)","('G H Raisoni Institute of Engineering and Business Management, Jalgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5152.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5152.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5152.pdf')"
173,"('174.', None)","('5160', None)","(""Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5160.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5160.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5160.pdf')"
174,"('175.', None)","('5161', None)","('Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5161.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5161.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5161.pdf')"
175,"('176.', None)","('5162', None)","(""Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5162.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5162.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5162.pdf')"
176,"('177.', None)","('5164', None)","(""P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5164.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5164.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5164.pdf')"
177,"('178.', None)","('5168', None)","(""T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5168.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5168.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5168.pdf')"
178,"('179.', None)","('5169', None)","(""Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5169.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5169.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5169.pdf')"
179,"('180.', None)","('5170', None)","(""Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5170.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5170.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5170.pdf')"
180,"('181.', None)","('5171', None)","(""Godavari Foundation's Godavari College Of Engineering, Jalgaon"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5171.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5171.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5171.pdf')"
181,"('182.', None)","('5172', None)","('R. C. Patel Institute of Technology, Shirpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5172.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5172.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5172.pdf')"
182,"('183.', None)","('5173', None)","(""SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5173.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5173.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5173.pdf')"
183,"('184.', None)","('5177', None)","('Matoshri College of Engineering and Research Centre, Eklahare, Nashik', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5177.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5177.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5177.pdf')"
184,"('185.', None)","('5179', None)","(""Vishwabharati Academy's College of Engineering, Ahmednagar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5179.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5179.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5179.pdf')"
185,"('186.', None)","('5181', None)","(""Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5181.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5181.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5181.pdf')"
186,"('187.', None)","('5182', None)","('Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5182.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5182.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5182.pdf')"
187,"('188.', None)","('5184', None)","(""Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5184.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5184.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5184.pdf')"
188,"('189.', None)","('5244', None)","(""MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5244.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5244.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5244.pdf')"
189,"('190.', None)","('5303', None)","('Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5303.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5303.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5303.pdf')"
190,"('191.', None)","('5322', None)","('Jamia Institute Of Engineering And Management Studies, Akkalkuwa', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5322.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5322.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5322.pdf')"
191,"('192.', None)","('5330', None)","('PUNE VIDYARTHI GRIHAS COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5330.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5330.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5330.pdf')"
192,"('193.', None)","('5331', None)","(""Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5331.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5331.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5331.pdf')"
193,"('194.', None)","('5380', None)","(""Adsul's Technical Campus, Chas Dist. Ahmednagar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5380.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5380.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5380.pdf')"
194,"('195.', None)","('5381', None)","('Shri. Jaykumar Rawal Institute of Technology, Dondaicha.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5381.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5381.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5381.pdf')"
195,"('196.', None)","('5382', None)","('Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5382.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5382.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5382.pdf')"
196,"('197.', None)","('5390', None)","(""K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5390.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5390.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5390.pdf')"
197,"('198.', None)","('5396', None)","('College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5396.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5396.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5396.pdf')"
198,"('199.', None)","('5399', None)","('Sanghavi College of Engineering, Varvandi, Nashik.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5399.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5399.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5399.pdf')"
199,"('200.', None)","('5401', None)","(""Jawahar Education Society's Institute of Technology, Management & Research, Nashik."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5401.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5401.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5401.pdf')"
200,"('201.', None)","('5408', None)","('Vidya Niketan College of Engineering, Bota Sangamner', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5408.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5408.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5408.pdf')"
201,"('202.', None)","('5409', None)","('Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5409.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5409.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5409.pdf')"
202,"('203.', None)","('5411', None)","('Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5411.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5411.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5411.pdf')"
203,"('204.', None)","('5418', None)","('Guru Gobind Singh College of Engineering & Research Centre, Nashik.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5418.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5418.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5418.pdf')"
204,"('205.', None)","('5449', None)","(""Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_5449.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_5449.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_5449.pdf')"
205,"('206.', None)","('6004', None)","('Government College of Engineering & Research, Avasari Khurd', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6004.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6004.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6004.pdf')"
206,"('207.', None)","('6005', None)","('Government College of Engineering, Karad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6005.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6005.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6005.pdf')"
207,"('208.', None)","('6006', None)","('COEP Technological University', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6006.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6006.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6006.pdf')"
208,"('209.', None)","('6007', None)","('Walchand College of Engineering, Sangli', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6007.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6007.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6007.pdf')"
209,"('210.', None)","('6028', None)","('Department of Technology, Shivaji University, Kolhapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6028.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6028.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6028.pdf')"
210,"('211.', None)","('6122', None)","(""TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6122.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6122.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6122.pdf')"
211,"('212.', None)","('6138', None)","('Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6138.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6138.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6138.pdf')"
212,"('213.', None)","('6139', None)","(""Progressive Education Society's Modern College of Engineering, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6139.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6139.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6139.pdf')"
