,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
74,"('75.', None)","('3194', None)","(""Vidyavardhini's College of Engineering and Technology, Vasai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3194.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3194.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3194.pdf')"
75,"('76.', None)","('3196', None)","('Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3196.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3196.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3196.pdf')"
76,"('77.', None)","('3197', None)","(""Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3197.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3197.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3197.pdf')"
77,"('78.', None)","('3198', None)","('Konkan Gyanpeeth College of Engineering, Karjat', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3198.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3198.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3198.pdf')"
78,"('79.', None)","('3199', None)","(""Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3199.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3199.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3199.pdf')"
79,"('80.', None)","('3200', None)","(""Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3200.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3200.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3200.pdf')"
80,"('81.', None)","('3201', None)","(""Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3201.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3201.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3201.pdf')"
81,"('82.', None)","('3202', None)","('Rajendra Mane College of Engineering & Technology Ambav Deorukh', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3202.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3202.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3202.pdf')"
82,"('83.', None)","('3203', None)","('Atharva College of Engineering,Malad(West),Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3203.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3203.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3203.pdf')"
83,"('84.', None)","('3204', None)","('St. Francis Institute of Technology,Borivali, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3204.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3204.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3204.pdf')"
84,"('85.', None)","('3206', None)","(""S.S.P.M.'s College of Engineering, Kankavli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3206.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3206.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3206.pdf')"
85,"('86.', None)","('3207', None)","(""Mahatma Education Society's Pillai College of Engineering, New Panvel"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3207.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3207.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3207.pdf')"
86,"('87.', None)","('3208', None)","('Don Bosco Institute of Technology, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3208.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3208.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3208.pdf')"
87,"('88.', None)","('3209', None)","('K J Somaiya Institute of Technology', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3209.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3209.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3209.pdf')"
